Date;SITE;ROOM;TYPE;RawData;HUMIDITY;TEMPERATURE
2020-12-16 17:05:30;DIEST;Heilige_Geestraat_12_Badkamer;HUM;44.34,25.8,12.7,65.5;44.34;25.8
2020-12-16 17:06:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;44.33,25.73,12.7,65.2;44.33;25.73
2020-12-16 17:21:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;43.92,24.64,11.6,60.4;43.92;24.64
2020-12-16 17:36:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;44.92,24.26,11.5,60.4;44.92;24.26
2020-12-16 17:51:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;45.54,23.61,11.2,58.8;45.54;23.61
2020-12-16 18:06:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;46.89,23.65,11.6,60.7;46.89;23.65
2020-12-16 18:21:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;46.22,22.43,10.3,55.4;46.22;22.43
2020-12-16 18:36:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;45.35,20.95,8.7,49.6;45.35;20.95
2020-12-16 18:51:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;44.95,20.16,7.8,46.7;44.95;20.16
2020-12-16 19:06:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;44.68,19.72,7.4,45.2;44.68;19.72
2020-12-16 19:21:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;44.4,19.5,7.1,44.3;44.4;19.5
2020-12-16 19:36:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;44.46,19.28,6.9,43.7;44.46;19.28
2020-12-16 19:51:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;45.05,18.59,6.5,42.4;45.05;18.59
2020-12-16 20:06:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;45.64,17.67,5.8,40.5;45.64;17.67
2020-12-16 20:21:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;46.23,16.91,5.3,39;46.23;16.91
2020-12-16 20:36:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;46.66,16.2,4.8,37.6;46.66;16.2
2020-12-16 20:51:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;47.04,15.51,4.3,36.2;47.04;15.51
2020-12-16 21:06:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;47.42,14.89,3.8,35.1;47.42;14.89
2020-12-16 21:21:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;47.75,14.28,3.4,33.9;47.75;14.28
2020-12-16 21:36:00;DIEST;Heilige_Geestraat_12_Badkamer;HUM;47.99,13.76,3,33;47.99;13.76
