Date;SITE;ROOM;TYPE;RawData;HUMIDITY;TEMPERATURE
2020-12-16 17:27:55;DIEST;Heilige_Geestraat_12_Living;HUM;39.9,27.94,13.1,67.2;39.9;27.94
2020-12-16 17:28:25;DIEST;Heilige_Geestraat_12_Living;HUM;41.96,28.15,14,71.5;41.96;28.15
2020-12-16 17:43:25;DIEST;Heilige_Geestraat_12_Living;HUM;44.79,24.29,11.5,60.3;44.79;24.29
2020-12-16 17:58:25;DIEST;Heilige_Geestraat_12_Living;HUM;45.82,23.51,11.2,58.8;45.82;23.51
2020-12-16 18:13:25;DIEST;Heilige_Geestraat_12_Living;HUM;45.76,23.77,11.4,59.7;45.76;23.77
2020-12-16 18:28:25;DIEST;Heilige_Geestraat_12_Living;HUM;45.95,20.97,8.9,50.3;45.95;20.97
2020-12-16 18:43:25;DIEST;Heilige_Geestraat_12_Living;HUM;45.97,19.69,7.7,46.4;45.97;19.69
2020-12-16 18:58:25;DIEST;Heilige_Geestraat_12_Living;HUM;45.87,19.21,7.3,44.9;45.87;19.21
2020-12-16 19:13:25;DIEST;Heilige_Geestraat_12_Living;HUM;45.43,19.13,7.1,44.2;45.43;19.13
2020-12-16 19:28:25;DIEST;Heilige_Geestraat_12_Living;HUM;45,19.1,6.9,43.7;45;19.1
2020-12-16 19:43:25;DIEST;Heilige_Geestraat_12_Living;HUM;45.15,18.53,6.4,42.3;45.15;18.53
2020-12-16 19:58:25;DIEST;Heilige_Geestraat_12_Living;HUM;45.7,17.64,5.8,40.4;45.7;17.64
2020-12-16 20:13:25;DIEST;Heilige_Geestraat_12_Living;HUM;46.47,16.72,5.2,38.7;46.47;16.72
2020-12-16 20:28:25;DIEST;Heilige_Geestraat_12_Living;HUM;47.18,15.85,4.6,37.2;47.18;15.85
2020-12-16 20:43:25;DIEST;Heilige_Geestraat_12_Living;HUM;47.78,15.07,4.1,35.8;47.78;15.07
