Date;SITE;ROOM;TYPE;RawData;HUMIDITY;TEMPERATURE
2020-12-17 09:14:57;DIEST;Heilige_Geestraat_12_keuken;HUM;55.45,19.07,9.9,53.8;55.45;19.07
2020-12-17 09:15:27;DIEST;Heilige_Geestraat_12_keuken;HUM;54.88,19.67,10.4,55.3;54.88;19.67
2020-12-17 09:30:27;DIEST;Heilige_Geestraat_12_keuken;HUM;50.87,19.43,9,50.5;50.87;19.43
2020-12-17 09:45:27;DIEST;Heilige_Geestraat_12_keuken;HUM;51.17,18.79,8.5,48.7;51.17;18.79
2020-12-17 10:00:27;DIEST;Heilige_Geestraat_12_keuken;HUM;51.41,18.58,8.4,48.3;51.41;18.58
2020-12-17 10:15:27;DIEST;Heilige_Geestraat_12_keuken;HUM;51.66,18.4,8.3,48;51.66;18.4
2020-12-17 10:30:27;DIEST;Heilige_Geestraat_12_keuken;HUM;51.86,18.31,8.3,47.9;51.86;18.31
2020-12-17 10:45:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.02,18.26,8.3,47.9;52.02;18.26
2020-12-17 11:00:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.09,18.19,8.2,47.8;52.09;18.19
2020-12-17 11:15:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.16,18.19,8.2,47.8;52.16;18.19
2020-12-17 11:30:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.28,18.17,8.2,47.9;52.28;18.17
2020-12-17 11:45:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.28,18.13,8.2,47.7;52.28;18.13
2020-12-17 12:00:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.3,18.14,8.2,47.8;52.3;18.14
2020-12-17 12:15:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.35,18.17,8.3,47.9;52.35;18.17
2020-12-17 12:30:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.39,18.19,8.3,48;52.39;18.19
2020-12-17 12:45:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.41,18.16,8.3,48;52.41;18.16
2020-12-17 13:00:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.35,18.16,8.3,47.9;52.35;18.16
2020-12-17 13:15:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.37,18.16,8.3,47.9;52.37;18.16
2020-12-17 13:30:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.38,18.14,8.2,47.9;52.38;18.14
2020-12-17 13:45:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.37,18.14,8.2,47.9;52.37;18.14
2020-12-17 14:00:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.38,18.14,8.2,47.9;52.38;18.14
2020-12-17 14:15:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.41,18.13,8.2,47.9;52.41;18.13
2020-12-17 14:30:27;DIEST;Heilige_Geestraat_12_keuken;HUM;52.32,18.12,8.2,47.7;52.32;18.12
