Date;SITE;ROOM;TYPE;RawData;HUMIDITY;TEMPERATURE
2020-12-16 17:06:43;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;47.73,25.52,13.6,69.3;47.73;25.52
2020-12-16 17:07:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;45.06,25.53,12.7,65.5;45.06;25.53
2020-12-16 17:22:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;45.18,24.33,11.7,61;45.18;24.33
2020-12-16 17:37:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;45.75,23.95,11.5,60.3;45.75;23.95
2020-12-16 17:52:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;45.81,23.54,11.2,58.9;45.81;23.54
2020-12-16 18:07:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;47.43,23.36,11.6,60.3;47.43;23.36
2020-12-16 18:22:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;45.41,22.61,10.2,55.1;45.41;22.61
2020-12-16 18:37:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;44.46,21.39,8.8,50;44.46;21.39
2020-12-16 18:52:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;44.06,20.57,7.9,47;44.06;20.57
2020-12-16 19:07:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;43.91,20,7.4,45.2;43.91;20
2020-12-16 19:22:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;43.79,19.66,7,44.1;43.79;19.66
2020-12-16 19:37:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;43.93,19.42,6.8,43.6;43.93;19.42
2020-12-16 19:52:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;44.11,18.91,6.4,42.3;44.11;18.91
2020-12-16 20:07:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;44.45,18.25,6,40.9;44.45;18.25
2020-12-16 20:22:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;44.83,17.53,5.4,39.4;44.83;17.53
2020-12-16 20:37:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;45.18,16.85,4.9,38;45.18;16.85
2020-12-16 20:52:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;45.51,16.23,4.5,36.8;45.51;16.23
2020-12-16 21:07:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;45.76,15.55,3.9,35.4;45.76;15.55
2020-12-16 21:22:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;46.06,14.97,3.5,34.3;46.06;14.97
2020-12-16 21:37:13;DIEST;Heilige_Geestraat_12_slaapkamer;HUM;46.35,14.44,3.1,33.3;46.35;14.44
