Date;SITE;ROOM;TYPE;RawData;HUMIDITY;TEMPERATURE
2020-12-16 17:52:11;DIEST;Overstraat_23_Badkamer;HUM;50.99,24.61,13.8,70;50.99;24.61
2020-12-16 17:52:41;DIEST;Overstraat_23_Badkamer;HUM;49.79,24.65,13.5,68.6;49.79;24.65
2020-12-16 18:07:41;DIEST;Overstraat_23_Badkamer;HUM;46.65,24.57,12.4,63.9;46.65;24.57
2020-12-16 18:22:41;DIEST;Overstraat_23_Badkamer;HUM;44.15,23.81,10.9,57.7;44.15;23.81
2020-12-16 18:37:41;DIEST;Overstraat_23_Badkamer;HUM;42.92,22.56,9.3,51.9;42.92;22.56
2020-12-16 18:52:41;DIEST;Overstraat_23_Badkamer;HUM;42.74,21.61,8.4,48.7;42.74;21.61
2020-12-16 19:07:41;DIEST;Overstraat_23_Badkamer;HUM;42.55,20.99,7.8,46.6;42.55;20.99
2020-12-16 19:22:41;DIEST;Overstraat_23_Badkamer;HUM;42.43,20.57,7.4,45.3;42.43;20.57
2020-12-16 19:37:41;DIEST;Overstraat_23_Badkamer;HUM;42.52,20.28,7.1,44.5;42.52;20.28
2020-12-16 19:52:41;DIEST;Overstraat_23_Badkamer;HUM;42.71,19.84,6.8,43.5;42.71;19.84
2020-12-16 20:07:41;DIEST;Overstraat_23_Badkamer;HUM;42.78,19.24,6.3,41.9;42.78;19.24
2020-12-16 20:22:41;DIEST;Overstraat_23_Badkamer;HUM;42.97,18.48,5.7,40.1;42.97;18.48
2020-12-16 20:37:41;DIEST;Overstraat_23_Badkamer;HUM;43.21,17.79,5.1,38.6;43.21;17.79
2020-12-16 20:52:41;DIEST;Overstraat_23_Badkamer;HUM;43.49,17.04,4.5,37;43.49;17.04
2020-12-16 21:07:41;DIEST;Overstraat_23_Badkamer;HUM;43.82,16.32,4,35.6;43.82;16.32
2020-12-16 21:22:41;DIEST;Overstraat_23_Badkamer;HUM;44.18,15.63,3.5,34.3;44.18;15.63
2020-12-16 21:37:41;DIEST;Overstraat_23_Badkamer;HUM;44.46,14.99,3,33.1;44.46;14.99
2020-12-16 21:52:41;DIEST;Overstraat_23_Badkamer;HUM;44.85,14.39,2.6,32.1;44.85;14.39
2020-12-16 22:07:41;DIEST;Overstraat_23_Badkamer;HUM;45.21,13.85,2.2,31.2;45.21;13.85
2020-12-16 22:22:41;DIEST;Overstraat_23_Badkamer;HUM;45.56,13.36,1.9,30.5;45.56;13.36
2020-12-16 22:37:41;DIEST;Overstraat_23_Badkamer;HUM;45.83,12.9,1.5,29.7;45.83;12.9
2020-12-16 22:52:41;DIEST;Overstraat_23_Badkamer;HUM;46.1,12.51,1.2,29.1;46.1;12.51
2020-12-16 23:07:41;DIEST;Overstraat_23_Badkamer;HUM;46.37,12.13,1,28.6;46.37;12.13
2020-12-16 23:22:41;DIEST;Overstraat_23_Badkamer;HUM;46.55,11.78,0.7,28;46.55;11.78
2020-12-16 23:37:41;DIEST;Overstraat_23_Badkamer;HUM;46.81,11.42,0.5,27.5;46.81;11.42
