Date;SITE;ROOM;TYPE;RawData;HUMIDITY;TEMPERATURE
2020-12-16 17:59:55;DIEST;Overstraat_23_Living;HUM;46.27,24.68,12.4,63.8;46.27;24.68
2020-12-16 18:00:25;DIEST;Overstraat_23_Living;HUM;46.25,24.65,12.3,63.7;46.25;24.65
2020-12-16 18:15:24;DIEST;Overstraat_23_Living;HUM;45.61,23.87,11.4,59.8;45.61;23.87
2020-12-16 18:30:24;DIEST;Overstraat_23_Living;HUM;43.96,22.28,9.4,52.2;43.96;22.28
2020-12-16 18:45:24;DIEST;Overstraat_23_Living;HUM;43.37,21.3,8.4,48.5;43.37;21.3
2020-12-16 19:00:24;DIEST;Overstraat_23_Living;HUM;42.89,20.78,7.7,46.4;42.89;20.78
2020-12-16 19:15:24;DIEST;Overstraat_23_Living;HUM;42.83,20.47,7.4,45.4;42.83;20.47
2020-12-16 19:30:24;DIEST;Overstraat_23_Living;HUM;42.44,20.23,7.1,44.3;42.44;20.23
2020-12-16 19:45:24;DIEST;Overstraat_23_Living;HUM;42.75,19.78,6.8,43.4;42.75;19.78
2020-12-16 20:00:24;DIEST;Overstraat_23_Living;HUM;43.11,19,6.2,41.6;43.11;19
2020-12-16 20:15:24;DIEST;Overstraat_23_Living;HUM;43.63,18.1,5.5,39.8;43.63;18.1
2020-12-16 20:30:24;DIEST;Overstraat_23_Living;HUM;44.16,17.31,5,38.3;44.16;17.31
2020-12-16 20:45:24;DIEST;Overstraat_23_Living;HUM;44.64,16.55,4.5,36.8;44.64;16.55
2020-12-16 21:00:24;DIEST;Overstraat_23_Living;HUM;45.08,15.8,3.9,35.4;45.08;15.8
2020-12-16 21:15:24;DIEST;Overstraat_23_Living;HUM;45.56,15.1,3.4,34.2;45.56;15.1
2020-12-16 21:30:24;DIEST;Overstraat_23_Living;HUM;46.03,14.45,3,33.1;46.03;14.45
2020-12-16 21:45:24;DIEST;Overstraat_23_Living;HUM;46.32,13.87,2.6,32;46.32;13.87
2020-12-16 22:00:24;DIEST;Overstraat_23_Living;HUM;46.74,13.35,2.2,31.2;46.74;13.35
2020-12-16 22:15:24;DIEST;Overstraat_23_Living;HUM;47.12,12.88,1.9,30.5;47.12;12.88
2020-12-16 22:30:24;DIEST;Overstraat_23_Living;HUM;47.4,12.46,1.6,29.8;47.4;12.46
2020-12-16 22:45:24;DIEST;Overstraat_23_Living;HUM;47.68,12.05,1.3,29.2;47.68;12.05
2020-12-16 23:00:24;DIEST;Overstraat_23_Living;HUM;47.91,11.7,1,28.7;47.91;11.7
2020-12-16 23:15:24;DIEST;Overstraat_23_Living;HUM;48.17,11.38,0.8,28.2;48.17;11.38
2020-12-16 23:30:24;DIEST;Overstraat_23_Living;HUM;48.38,11.02,0.6,27.7;48.38;11.02
2020-12-16 23:45:24;DIEST;Overstraat_23_Living;HUM;48.58,10.74,0.4,27.2;48.58;10.74
