Date;SITE;ROOM;TYPE;RawData;HUMIDITY;TEMPERATURE
2020-12-17 10:34:55;DIEST;Overstraat_23_keuken;HUM;52.85,21.34,11.3,59.2;52.85;21.34
2020-12-17 10:35:25;DIEST;Overstraat_23_keuken;HUM;50.96,21.65,11.1,58.2;50.96;21.65
2020-12-17 10:50:26;DIEST;Overstraat_23_keuken;HUM;47.66,19.81,8.4,48.5;47.66;19.81
2020-12-17 11:05:26;DIEST;Overstraat_23_keuken;HUM;47.41,18.95,7.5,45.6;47.41;18.95
2020-12-17 11:20:26;DIEST;Overstraat_23_keuken;HUM;49.05,18.79,7.9,46.7;49.05;18.79
2020-12-17 11:35:26;DIEST;Overstraat_23_keuken;HUM;48.1,18.38,7.2,44.6;48.1;18.38
2020-12-17 11:50:26;DIEST;Overstraat_23_keuken;HUM;47.88,17.92,6.7,43.1;47.88;17.92
2020-12-17 12:05:26;DIEST;Overstraat_23_keuken;HUM;48.22,17.96,6.9,43.6;48.22;17.96
2020-12-17 12:20:26;DIEST;Overstraat_23_keuken;HUM;48.62,18.04,7.1,44.1;48.62;18.04
2020-12-17 12:35:26;DIEST;Overstraat_23_keuken;HUM;48.85,18.13,7.2,44.6;48.85;18.13
2020-12-17 12:50:26;DIEST;Overstraat_23_keuken;HUM;49.07,18.2,7.3,45;49.07;18.2
2020-12-17 13:05:26;DIEST;Overstraat_23_keuken;HUM;49.19,18.28,7.5,45.4;49.19;18.28
2020-12-17 13:20:26;DIEST;Overstraat_23_keuken;HUM;49.34,18.35,7.6,45.7;49.34;18.35
2020-12-17 13:35:26;DIEST;Overstraat_23_keuken;HUM;49.37,18.38,7.6,45.8;49.37;18.38
2020-12-17 13:50:26;DIEST;Overstraat_23_keuken;HUM;49.41,18.38,7.6,45.9;49.41;18.38
2020-12-17 14:05:26;DIEST;Overstraat_23_keuken;HUM;48.62,19.49,8.4,48.4;48.62;19.49
2020-12-17 14:20:26;DIEST;Overstraat_23_keuken;HUM;44.9,21.72,9.2,51.5;44.9;21.72
2020-12-17 14:35:26;DIEST;Overstraat_23_keuken;HUM;40.68,22.85,8.8,50.1;40.68;22.85
2020-12-17 14:50:26;DIEST;Overstraat_23_keuken;HUM;39.3,23.45,8.8,50.2;39.3;23.45
2020-12-17 15:05:26;DIEST;Overstraat_23_keuken;HUM;40.18,23.42,9.1,51.3;40.18;23.42
2020-12-17 15:20:26;DIEST;Overstraat_23_keuken;HUM;41.3,22.42,8.6,49.5;41.3;22.42
2020-12-17 15:35:26;DIEST;Overstraat_23_keuken;HUM;42.04,21.79,8.3,48.4;42.04;21.79
2020-12-17 15:50:26;DIEST;Overstraat_23_keuken;HUM;42.66,21.27,8.1,47.6;42.66;21.27
2020-12-17 16:05:26;DIEST;Overstraat_23_keuken;HUM;43.15,20.85,7.9,46.9;43.15;20.85
2020-12-17 16:20:26;DIEST;Overstraat_23_keuken;HUM;43.63,20.53,7.7,46.4;43.63;20.53
2020-12-17 16:35:26;DIEST;Overstraat_23_keuken;HUM;44.15,21.05,8.4,48.6;44.15;21.05
2020-12-17 16:50:26;DIEST;Overstraat_23_keuken;HUM;55.87,21.64,12.5,63.8;55.87;21.64
2020-12-17 17:05:26;DIEST;Overstraat_23_keuken;HUM;67.82,22.14,15.9,79.9;67.82;22.14
2020-12-17 17:20:26;DIEST;Overstraat_23_keuken;HUM;64.33,22.49,15.4,77.4;64.33;22.49
2020-12-17 17:35:26;DIEST;Overstraat_23_keuken;HUM;60.76,22.97,15,75.4;60.76;22.97
2020-12-17 17:50:26;DIEST;Overstraat_23_keuken;HUM;52.51,22.47,12.3,63.1;52.51;22.47
2020-12-17 18:05:26;DIEST;Overstraat_23_keuken;HUM;49.18,21.99,10.8,57.4;49.18;21.99
2020-12-17 18:20:26;DIEST;Overstraat_23_keuken;HUM;47.53,21.59,10,54.1;47.53;21.59
2020-12-17 18:35:26;DIEST;Overstraat_23_keuken;HUM;47.25,21.25,9.6,52.6;47.25;21.25
2020-12-17 18:50:26;DIEST;Overstraat_23_keuken;HUM;48.82,21.11,9.9,53.9;48.82;21.11
2020-12-17 19:05:26;DIEST;Overstraat_23_keuken;HUM;50.03,20.98,10.2,54.8;50.03;20.98
2020-12-17 19:20:26;DIEST;Overstraat_23_keuken;HUM;50.6,20.91,10.3,55.2;50.6;20.91
2020-12-17 19:35:26;DIEST;Overstraat_23_keuken;HUM;48.23,20.69,9.4,51.9;48.23;20.69
2020-12-17 19:50:26;DIEST;Overstraat_23_keuken;HUM;47.44,20.48,8.9,50.3;47.44;20.48
2020-12-17 20:05:26;DIEST;Overstraat_23_keuken;HUM;47.13,20.31,8.7,49.5;47.13;20.31
2020-12-17 20:20:26;DIEST;Overstraat_23_keuken;HUM;47,20.11,8.5,48.7;47;20.11
2020-12-17 20:35:26;DIEST;Overstraat_23_keuken;HUM;47.02,19.97,8.3,48.3;47.02;19.97
2020-12-17 20:50:26;DIEST;Overstraat_23_keuken;HUM;47.03,19.8,8.2,47.8;47.03;19.8
2020-12-17 21:05:26;DIEST;Overstraat_23_keuken;HUM;46.87,19.7,8,47.3;46.87;19.7
2020-12-17 21:20:26;DIEST;Overstraat_23_keuken;HUM;46.79,19.59,7.9,46.9;46.79;19.59
2020-12-17 21:35:26;DIEST;Overstraat_23_keuken;HUM;46.73,19.55,7.9,46.7;46.73;19.55
2020-12-17 21:50:26;DIEST;Overstraat_23_keuken;HUM;47.38,19.46,8,47.1;47.38;19.46
2020-12-17 22:05:26;DIEST;Overstraat_23_keuken;HUM;47.52,19.44,8,47.2;47.52;19.44
2020-12-17 22:20:26;DIEST;Overstraat_23_keuken;HUM;47.87,19.42,8.1,47.5;47.87;19.42
2020-12-17 22:35:26;DIEST;Overstraat_23_keuken;HUM;48.06,19.41,8.1,47.6;48.06;19.41
2020-12-17 22:50:26;DIEST;Overstraat_23_keuken;HUM;50.38,19.39,8.8,49.9;50.38;19.39
2020-12-17 23:05:26;DIEST;Overstraat_23_keuken;HUM;52.81,19.41,9.5,52.3;52.81;19.41
2020-12-17 23:20:26;DIEST;Overstraat_23_keuken;HUM;52.54,19.41,9.5,52.1;52.54;19.41
2020-12-17 23:35:26;DIEST;Overstraat_23_keuken;HUM;52.1,19.38,9.3,51.5;52.1;19.38
2020-12-17 23:50:26;DIEST;Overstraat_23_keuken;HUM;51.44,19.35,9.1,50.8;51.44;19.35
2020-12-18 00:05:26;DIEST;Overstraat_23_keuken;HUM;50.98,19.31,8.9,50.2;50.98;19.31
2020-12-18 00:20:26;DIEST;Overstraat_23_keuken;HUM;50.63,19.22,8.7,49.6;50.63;19.22
2020-12-18 00:35:26;DIEST;Overstraat_23_keuken;HUM;50.34,19.18,8.6,49.2;50.34;19.18
2020-12-18 00:50:26;DIEST;Overstraat_23_keuken;HUM;50.18,19.14,8.5,48.9;50.18;19.14
2020-12-18 01:05:26;DIEST;Overstraat_23_keuken;HUM;50.07,19.07,8.4,48.6;50.07;19.07
2020-12-18 01:20:26;DIEST;Overstraat_23_keuken;HUM;49.94,19.03,8.4,48.3;49.94;19.03
2020-12-18 01:35:26;DIEST;Overstraat_23_keuken;HUM;49.81,18.97,8.3,48;49.81;18.97
2020-12-18 01:50:26;DIEST;Overstraat_23_keuken;HUM;49.71,18.89,8.2,47.7;49.71;18.89
