Date;SITE;ROOM;TYPE;RawData;HUMIDITY;TEMPERATURE
2020-12-16 17:50:22;DIEST;Overstraat_23_slaapkamer;HUM;46.37,25.36,13,66.7;46.37;25.36
2020-12-16 17:50:52;DIEST;Overstraat_23_slaapkamer;HUM;46.36,25.34,13,66.6;46.36;25.34
2020-12-16 18:05:52;DIEST;Overstraat_23_slaapkamer;HUM;45.92,24.62,12.2,63.1;45.92;24.62
2020-12-16 18:20:52;DIEST;Overstraat_23_slaapkamer;HUM;45.14,22.71,10.2,55.1;45.14;22.71
2020-12-16 18:35:52;DIEST;Overstraat_23_slaapkamer;HUM;45.03,20.86,8.5,48.9;45.03;20.86
2020-12-16 18:50:52;DIEST;Overstraat_23_slaapkamer;HUM;44.77,20.32,7.9,47;44.77;20.32
2020-12-16 19:05:52;DIEST;Overstraat_23_slaapkamer;HUM;44.38,20.19,7.7,46.2;44.38;20.19
2020-12-16 19:20:52;DIEST;Overstraat_23_slaapkamer;HUM;43.84,20.22,7.5,45.8;43.84;20.22
2020-12-16 19:35:52;DIEST;Overstraat_23_slaapkamer;HUM;43.25,20.12,7.2,44.8;43.25;20.12
2020-12-16 19:50:52;DIEST;Overstraat_23_slaapkamer;HUM;43.63,19.29,6.6,42.9;43.63;19.29
2020-12-16 20:05:52;DIEST;Overstraat_23_slaapkamer;HUM;44.07,18.2,5.8,40.4;44.07;18.2
2020-12-16 20:20:52;DIEST;Overstraat_23_slaapkamer;HUM;44.68,17.21,5.1,38.5;44.68;17.21
2020-12-16 20:35:52;DIEST;Overstraat_23_slaapkamer;HUM;45.28,16.31,4.5,36.8;45.28;16.31
2020-12-16 20:50:52;DIEST;Overstraat_23_slaapkamer;HUM;45.88,15.49,3.9,35.3;45.88;15.49
2020-12-16 21:05:52;DIEST;Overstraat_23_slaapkamer;HUM;46.41,14.78,3.4,34.1;46.41;14.78
2020-12-16 21:20:52;DIEST;Overstraat_23_slaapkamer;HUM;46.94,14.1,3,33;46.94;14.1
